企业利润,平台利润,消费者总效益,flag
7009.78,4514.03,46177.49,0
7750.72,1843.05,33542.2,0
9025.25,1892.84,40551.36,0
6820.24,1823.68,28478.45,0
9719.58,2028.66,48006.46,0
3518.17,5309.62,55659.52,0
6782.7,4550.97,27656.27,0
2150.66,5014.94,49920.73,0
8763.32,2785.85,28883.1,0
8009.25,2401.49,37939.63,0
10931.61,1487.07,27420.6,0
6082.5,2314.49,40548.4,0
4511.98,4197.74,28899.11,1
6927.66,2600.81,46246.42,0
11488.4,1604.12,36455.12,0
5093.94,4596.02,49090.52,0
6489.87,1880.07,57909.15,0
5351.93,4953.81,43265.92,0
7736.72,2739.2,41291.25,0
11566.6,1849.68,44573.54,0
2656.98,5574.01,28569.22,1
9066.45,2106.56,43040.82,0
9702.68,1863.48,31844.85,0
11469.7,1882.99,41102.8,0
7606.04,2988.41,33274.91,0
7285.78,1772.31,50021.3,0
4298.79,3388.23,39310.99,0
9800.76,2823.25,33831.9,0
8212.52,2085.55,34066.29,0
8415.36,2007.04,36668.7,0
7807.79,2669.25,43111.29,0
10552.72,2584.55,33613.39,0
6017.5,2623.73,48237.73,0
6136.4,3766.53,28121.08,0
10567.32,1912.76,47764.94,0
9083.18,2324.24,34501.6,0
9071.78,2019.3,27638.92,0
8734.39,3076.86,51325.3,0
10511.23,2006.26,36232.28,0
10158.74,2777.67,43267.04,0
8750.78,3959.07,46611.5,0
8432.4,2749.96,42935.09,0
6484.17,2194.13,31103.1,0
7019.03,2268.09,53303.37,0
7350.07,1779.76,35176.89,0
7197.18,1816.52,26722.31,1
7700.12,3990.47,50469.51,0
6128.3,2838.02,54149.12,0
6116.82,2605.18,45632.25,0
9577.85,3416.31,46895.37,0
8041.17,1884.08,29481.64,0
7458.07,4646.53,45903.12,0
2112.5,4245.17,43961.98,0
9530.01,1831.38,27912.59,0
7257.49,2404.66,56954.36,0
6728.8,2213.75,28211.32,0
2285.42,3372.66,35238.84,0
5004.05,3596.35,30459.14,0
10615.74,2066.4,36762.03,0
6851.93,2566.09,47665.85,0
8553.24,2319.02,31144.87,0
5877.85,1947.94,55718.8,0
10199.27,1845.56,31378.96,0
4446.26,3980.0,45841.24,0
7118.44,3037.2,40319.48,0
5474.09,2611.86,56952.72,0
4424.73,2516.15,31189.33,0
6052.36,2452.2,42230.87,0
5695.59,3080.65,43022.66,0
10148.85,2001.91,44073.49,0
10637.58,2065.55,29755.55,0
7241.59,1898.3,27978.35,0
9960.53,2013.44,45638.15,0
6900.78,1897.65,33732.92,0
7416.59,2585.58,49992.54,0
5791.96,2113.1,31003.78,0
7340.38,2132.75,45346.92,0
8316.28,2246.69,54203.65,0
7284.02,2225.57,54028.41,0
4952.33,6870.43,45012.16,0
10862.71,2278.91,42335.43,0
7821.56,1664.06,40780.56,0
8875.44,2443.07,44072.3,0
6918.55,2113.0,37128.27,0
10107.76,1773.47,35444.03,0
8577.84,2189.22,29342.78,0
7976.07,2359.02,49006.02,0
7469.33,2254.76,56462.17,0
4403.57,5959.12,40645.28,0
5329.0,3600.37,32201.87,0
10841.28,1759.72,40885.36,0
8910.95,3094.11,44939.04,0
6800.06,3517.4,29450.66,0
6588.39,2392.16,45487.8,0
8673.72,1844.66,30500.49,0
10401.61,2102.28,46922.8,0
8401.76,2312.95,46902.91,0
10460.92,2099.42,40830.39,0
9339.51,2192.15,42532.86,0
9817.93,1706.97,24672.04,1
9445.65,2089.39,34435.1,0
9103.94,2343.03,27595.35,0
4101.52,1664.46,29761.32,1
7074.25,3163.88,52472.31,0
8716.59,2338.14,30852.66,0
6521.68,2609.26,46026.84,0
10589.41,1751.4,27577.99,0
2401.56,4503.35,64266.46,0
5765.06,2886.03,55979.85,0
9033.42,2914.2,27485.92,0
9916.08,2045.74,38454.82,0
5204.76,2727.83,51869.21,0
5980.8,2516.53,53243.94,0
7778.22,2248.15,34011.45,0
8005.56,2506.58,42563.14,0
9999.04,1853.91,50166.13,0
6871.24,2289.18,46908.38,0
6941.87,2395.93,29466.71,0
5642.11,5463.65,28623.8,0
7708.46,4263.38,28588.12,0
9577.11,1760.44,43987.81,0
9454.25,1840.64,38922.63,0
8399.12,3008.06,44284.36,0
2270.11,3080.11,55496.69,0
6412.26,2296.46,48888.22,0
7730.6,3098.25,48540.82,0
7558.68,2589.74,32268.79,0
5304.22,6590.94,32530.69,0
9760.11,2092.97,30488.76,0
4411.14,2110.45,51738.13,0
3370.02,5905.73,48838.71,0
2612.55,3237.16,64528.69,0
6497.0,2613.44,31723.13,0
5761.53,2038.61,30884.42,0
9501.44,1654.27,34448.5,0
9586.7,2161.2,51553.39,0
9775.16,1836.12,27161.74,0
7880.95,2491.66,41271.82,0
6855.88,4286.24,36489.31,0
9107.24,2755.38,37814.36,0
7405.02,2959.86,25835.96,1
3838.23,3847.83,48748.68,0
6562.65,2338.39,43312.86,0
5773.31,4147.16,50626.25,0
8622.33,2214.69,27960.98,0
8799.52,1935.65,50584.66,0
6098.5,3036.23,43222.2,0
4297.89,2448.02,29172.37,1
7492.63,2119.93,35940.82,0
8551.72,1805.4,37367.33,0
6797.06,2621.91,49922.54,0
11367.71,1620.85,32861.64,0
9440.86,2017.4,48257.71,0
10154.19,2508.02,37497.96,0
3174.76,5557.89,51680.87,0
3903.8,3336.31,61352.02,0
9218.89,1875.99,44498.83,0
10234.98,2632.93,41377.84,0
7060.56,4903.78,50542.11,0
5960.68,2177.26,28521.1,0
6242.23,2660.05,50026.77,0
8354.27,3635.31,24295.66,1
6187.79,1797.78,33661.45,0
6505.65,946.01,40205.04,0
6250.76,2206.76,33158.04,0
4608.71,4518.66,29383.86,0
4229.88,3658.59,44435.27,0
