企业利润,平台利润,消费者总效益
11992.0882,1867.033408,35620.97795
8559.243524,-2445.673267,68479.93594
6719.026164,7066.070721,28128.80209
3748.447595,7793.775082,43389.00011
1521.788284,1920.445242,70925.82589
1459.179548,2023.342362,70842.89021
5290.309937,7467.32369,30405.49102
8292.020962,6464.839397,46978.68013
6709.649507,7051.19208,28534.60155
10873.52408,5074.595589,29146.0194
10698.47516,5171.100603,31739.44339
3878.944687,7778.044938,42077.91164
11738.8906,1908.653173,47768.40357
10831.92834,4976.231325,35991.73609
4018.309897,7741.814911,39288.0056
7340.158031,3544.820304,58175.1835
2124.600683,2456.953258,70122.74359
8031.319727,-1126.29896,69324.74257
7511.119007,2034.435181,67136.22951
8869.62053,6121.10541,31536.39685
8204.875214,-1304.234578,69045.91002
1663.901419,2050.233796,70745.49149
10441.10431,5297.991658,42988.31942
3895.256309,7701.599797,40833.87849
11666.64289,2386.790247,43702.52182
6987.272759,3673.648947,58345.5605
8746.107857,1429.625371,64447.98089
4600.913336,7587.092748,42245.92982
9949.830265,5453.124289,44803.14118
2583.777341,3357.447468,65532.1593
9383.402467,-2193.735219,66702.70681
5606.604341,7403.002095,37217.00594
5236.827058,619.1097225,70001.51143
4271.401897,7631.891634,32854.24146
7614.588723,3579.048544,57295.39118
9783.501135,-855.0336846,58797.67373
2338.215722,3154.073403,67726.29184
7706.435951,6574.946244,34317.08296
10654.91843,1720.692911,51290.06695
11182.98611,4036.046913,36308.09915
11331.73138,3133.28547,30522.27827
6623.007696,1281.672236,67916.61896
11217.92738,4441.406639,31228.1479
8329.167045,-205.9877953,68360.3319
11634.52573,2556.014159,40503.9918
8602.649899,1577.398876,66939.74019
6030.303874,-123.1965038,69817.00103
6887.281837,6781.349428,46732.75395
11676.67145,2404.306511,31158.93539
2476.984958,3384.785299,65723.26037
1784.085993,3532.726898,65375.20207
10979.12998,4945.244863,30805.90224
11067.83124,3230.490458,43168.09821
3318.334939,6173.603864,59750.20893
7971.876742,457.4388436,68930.31003
5917.767175,5635.204246,56092.16765
9474.512185,5826.252058,45340.61322
5980.954977,6853.562112,51809.80995
4882.815757,4345.879369,59619.51307
6040.348542,6726.950836,52862.96877
11241.0413,4402.413624,32031.78723
8786.239209,1159.099817,66826.45078
5390.364296,6486.963998,56465.50043
4552.900665,7618.405035,42293.59166
6916.793534,6838.204683,33458.32522
2860.042263,6052.825284,60400.52941
10754.24576,5084.503764,32377.5705
9330.37101,1010.777525,60539.26493
10578.6707,5242.030263,36982.05899
11772.61929,2360.441236,36585.15017
3458.021992,5573.266164,59788.06101
1921.621929,2201.46565,70425.35446
9889.732004,-987.4806433,57320.24944
9620.891129,5501.166095,40834.11816
10728.98299,5138.358875,32278.86286
8389.007358,3185.125727,58002.48019
5479.819459,6944.662036,52991.518
6952.922457,-30.08803609,69760.69969
11468.48862,2728.988221,40386.9867
8980.19575,45.01127055,66980.40693
3214.869864,5933.044368,60134.11395
9170.12581,1539.062916,59234.7471
11828.32386,2277.606067,40148.44042
6858.42921,815.7204824,67456.79705
9714.646703,-541.1329044,58913.90235
8469.238258,-933.6817482,68495.84999
9580.273096,-1637.80462,66289.08968
4145.871433,7623.203267,37837.18234
3775.717599,7771.080053,43454.52437
10152.00628,744.4876704,54243.52241
10766.76274,5054.353504,30795.89559
3991.676874,1620.335303,68157.3417
4641.030374,6220.928897,58336.12846
6806.314442,6797.897168,50077.84905
3386.816954,4570.127215,61778.01312
8266.894756,-1363.953179,68959.30742
1472.982735,2100.256274,70797.8144
5101.825655,288.057754,70099.86364
5894.609432,7155.552446,41341.06477
3381.737534,5978.136774,60088.51885
2807.21875,4611.316982,63139.58212
11881.40808,2344.120235,33940.43278
1750.901187,2263.474244,70430.91879
11510.23933,2137.224283,48697.08123
8631.734277,6378.204758,52267.83788
4939.310683,7337.951082,54620.87009
1990.655256,3626.041922,65031.82006
5351.809235,5764.705498,56528.74166
4812.633866,4372.661581,59398.88042
7491.07983,-256.2118378,69344.99613
6166.358362,7247.398465,32997.3384
11423.39361,2886.212336,34928.95265
9353.364326,5719.49901,50469.22974
4376.115445,6151.586059,58552.58247
10604.83635,1235.222278,53728.20622
9996.803661,2960.893503,50625.77398
11912.79701,1817.848472,37438.75958
5040.205218,7461.361208,38522.17133
9584.631049,-1550.918276,66280.56071
9699.835383,-1202.471048,60604.71724
10094.40998,4284.341547,49540.86645
3055.255079,4420.098507,62581.00617
6295.403319,7032.350741,41532.35972
4172.249787,7644.186504,32943.67955
1713.995426,2284.442575,70479.53173
3204.725731,6131.900428,59964.69889
6560.696244,6749.072105,51585.78873
9811.354556,-479.4104716,57180.81905
10063.70098,5465.837292,38907.25763
10503.07447,855.1070121,54116.26215
6894.358673,6773.555203,46160.32093
8487.158238,-2264.141,68594.5116
8134.40481,-1158.776775,69191.36946
6665.870663,6983.524824,34664.42152
8175.054732,5581.537665,53359.11657
9848.69692,-1014.563704,57599.91403
8071.110857,2710.859941,61447.50483
7811.367091,-354.4221607,69464.24288
11126.96429,504.4686235,53990.62835
2393.811666,3430.927393,65587.41638
2198.394641,4127.503874,64126.65346
2543.56185,3309.498986,65782.70467
3719.777315,1208.452637,70077.71929
3714.802485,980.2238991,70302.81164
9197.597471,908.207306,60698.05973
7088.471793,6329.367164,52512.70913
1853.824648,3512.896095,65215.93224
4026.199891,7753.412059,39199.75126
7854.135488,275.1119468,69134.10548
9726.749312,-1750.420442,64038.99857
6657.767397,6992.869436,34686.94878
6098.726961,5589.684098,56001.24313
4769.77668,4188.544629,61208.79547
7423.275638,3609.243701,56676.73059
2323.802831,3278.425831,67624.28869
6437.450948,7158.970885,29320.93974
11402.29152,2760.181491,39966.33819
4436.609636,5655.295719,59698.25686
8556.186552,-2352.180149,68524.41852
4982.660865,7516.796335,39026.29159
7740.368993,6543.422864,29447.77893
10788.00927,5026.155467,36396.72816
9507.760208,5693.553896,50416.77301
6543.357414,7017.646142,33609.65003
4756.546679,4227.926793,61215.89231
3089.808632,4347.312494,62672.65255
7265.203183,3558.218472,58261.66692
10223.2161,5311.577256,49431.28911
6262.737876,2488.610801,67512.13395
8917.139259,1142.71069,64222.16088
11438.26439,2542.948745,47261.99939
2058.40609,2428.143398,70210.48348
9561.864008,-2032.150458,66342.7293
2760.250794,2505.180533,67861.61038
5173.204007,6613.204774,54763.26592
7008.126245,6699.683935,51054.24068
7054.797908,4307.692592,56214.34564
9392.165456,-829.6879313,66597.61304
5547.800652,3602.442876,59312.98665
9166.159197,-1398.089737,66668.16587
6424.887138,6005.169577,53154.409
11931.78058,2317.027496,35473.35773
11556.28562,2409.247334,47311.30844
2919.384813,5911.718476,60351.03169
9831.17432,-702.6408014,57546.70547
4665.43087,4361.507225,61050.92442
5498.791531,7369.571045,42594.99419
5282.005475,7471.523532,31506.7549
1589.051842,1935.288726,70776.33443
10543.50851,214.5279184,54976.52029
8511.338607,-2363.896249,68585.81209
2746.82969,2537.374941,67979.07955
3622.628477,7496.622726,57011.5919
11450.67624,2642.45706,45761.23946
8510.840066,-2275.343695,68584.76249
4402.548269,6085.666472,59476.24005
2905.331008,4831.31017,62507.89324
6165.234972,2955.761603,63273.71734
9006.949142,5850.022859,50725.33665
10675.54155,5212.435672,40608.56115
11907.03581,2319.127608,38082.1049
11397.53065,2584.449061,49031.97053
6309.536648,1041.787006,69613.6604
10174.81539,2681.855847,51742.91354
7665.187868,-303.6443959,69518.65605
4958.602233,3448.640358,60915.58995
9040.677617,668.6770882,64365.35312
10133.97546,5396.576609,47466.13813
5270.178539,7465.878536,32695.51173
11805.47462,1895.939498,45876.31131
6258.353404,7201.665455,40962.9538
8955.36435,716.8568856,64274.33947
8447.64586,-1878.860779,68738.89503
2786.544615,5675.217572,61921.93663
10722.8385,4595.619362,48548.38295
4042.32853,7602.882528,55502.9698
6789.93354,6818.766464,48240.62571
10744.52898,-67.50274578,55140.22007
11352.20812,2876.493722,35324.86732
4064.971499,7670.163077,35166.83023
11700.47325,1931.597875,48866.79525
